docname,from,to,pre,keyword,post,pattern
doc_294,211,211,p<c3><a5> at det er mulig <c3><a5> gjennomf<c3><b8>re forsvarlig,petroleumsaktivitet,ogs<c3><a5> i havomr<c3><a5>dene utenfor Lofoten Vester<c3><a5>len og Senja,petroleum*
doc_296,337,337,Behovet for omstilling f<c3><b8>lger b<c3><a5>de av utfordringene i,petroleumsrelaterte,n<c3><a6>ringer teknologisk utvikling og eventuelt ogs<c3><a5> utvikling av,petroleum*
doc_322,128,128,hensyn til natur og milj<c3><b8> ikke b<c3><b8>r drives,petroleumsvirksomhet,p<c3><a5> norsk sokkel,petroleum*
doc_323,100,100,og oppvokst i Barentshavet der vi har drevet,petroleumsaktivitet,i mange ti<c3><a5>r allerede I forbindelse med enhver,petroleum*
doc_342,109,109,eige forsvar Omr<c3><a5>da nord for Noreg har store,petroleums,og mineralressursar og er strategisk viktige Nye seglingsleier,petroleum*
doc_352,425,425,i en omstillingsfase og s<c3><a6>rlig bedrifter knyttet til,petroleumsn<c3><a6>ringen,har mange utfordringer i denne omstillingen Blant annet,petroleum*
doc_436,89,89,det kan n<c3><a5> opp i mrd kr Da,petroleumshistorien,begynte i Norge tok framsynte politikere grep og,petroleum*
doc_436,106,106,s<c3><b8>rget for at fellesskapet skulle ha inntekter fra,petroleumsressursene,og bygge opp en nasjonal industri i Norge,petroleum*
doc_440,217,217,dels betydelige avgifter p<c3><a5> andre utslipp fra eksempelvis,petroleumsn<c3><a6>ringen,og industrien for <c3><b8>vrig Et vesentlig problem ved,petroleum*
doc_462,158,158,sj<c3><b8>rute mellom Europa og Asia <c3><98>kt skipstrafikk samt,petroleumsaktivitet,gj<c3><b8>r behovet for s<c3><b8>k og redningstjeneste og milj<c3><b8>beredskap,petroleum*
doc_480,39,39,dem som er utenfor arbeidslivet Redusert aktivitet i,petroleumsrelatert,n<c3><a6>ringsliv har f<c3><b8>rt til h<c3><b8>yere arbeidsledighet Arbeiderpartiet starter,petroleum*
doc_505,132,132,det lite utvikling for annan industri enn den,petroleumsrelaterte,Det meiner eg er ei litt korttenkt utsegn,petroleum*
doc_505,177,177,veldig naturleg at industrien var retta inn mot,petroleumsrelatert,verksemd n<c3><a5>r oljeprisen l<c3><a5>g over dollar fatet Bedriftene,petroleum*
doc_521,414,414,en systematisk satsing p<c3><a5> <c3><a5> overf<c3><b8>re kompetanse fra,petroleumsn<c3><a6>ringen,til andre n<c3><a6>ringer Vi har tatt til orde,petroleum*
doc_544,27,27,behandling av plan for utbygging og drift av,petroleumsutbygginger,de s<c3><a5>kalte PUD-ene I dag er det s<c3><a5>nn,petroleum*
doc_560,47,47,stupte sommeren har vi sett ekstreme forandringer i,petroleumsindustrien,Aktiviteten har falt 000<e2><80><93>40 arbeidsplasser har forsvunnet Offshorerederier,petroleum*
doc_560,179,179,av industrien Jeg vil minne om at norsk,petroleumspolitikk,siden starten har hatt som m<c3><a5>lsetting <c3><a5> skape,petroleum*
doc_560,230,230,i de veivalgene vi som politikere gj<c3><b8>r i,petroleumspolitikken,Kanskje har vi n<c3><a5>dd bunnen n<c3><a5> Markedet er,petroleum*
doc_561,88,88,sysselsetting og ikke minst for inntekter til staten,Petroleumsn<c3><a6>ringen,st<c3><a5>r for rundt en fjerdedel av den samlede,petroleum*
doc_577,130,130,satsingen p<c3><a5> forskning utvikling og demonstrasjon av ny,petroleumsteknologi,som b<c3><a5>de bidrar til lavere utslipp fra produksjon,petroleum*
doc_612,77,77,De Gr<c3><b8>nnes alternative statsbudsjett avhengig av inntekter fra,petroleumssektoren,for <c3><a5> f<c3><a5> det til <c3><a5> g<c3><a5> i,petroleum*
doc_623,9,9,Per Rune Henriksen A Arbeiderpartiets hovedkritikk av regjeringens,petroleumspolitikk,g<c3><a5>r p<c3><a5> det som ikke har blitt gjort,petroleum*
doc_627,58,58,grader <e2><80><93> kan ha for innretningen av norsk,petroleumspolitikk,Det er n<c3><a5> viktig <c3><a5> se petroleumspolitikken i,petroleum*
doc_627,65,65,norsk petroleumspolitikk Det er n<c3><a5> viktig <c3><a5> se,petroleumspolitikken,i lys av Paris-avtalen og de endringene som,petroleum*
doc_630,135,135,s<c3><a6>rlig hardt rammet av den <c3><b8>konomiske krisen i,petroleumsbasert,n<c3><a6>ringsliv Jeg merker meg ogs<c3><a5> at Kristelig Folkeparti,petroleum*
doc_664,851,851,satser mer p<c3><a5> treparts bransjeprogram Ett eksempel er,Petroleumstilsynet,som ogs<c3><a5> peker tilbake p<c3><a5> en situasjon der,petroleum*
doc_686,562,562,et mye lavere niv<c3><a5> p<c3><a5> fribel<c3><b8>pet enn det,petroleumsindustrien,gj<c3><b8>r Noen ord om avgiftsopplegget Vi har lagt,petroleum*
doc_779,217,217,jo det alvorlige Det handler ikke bare om,petroleumssektoren,Til tross for lavere renter til tross for,petroleum*
doc_780,67,67,<e2><80><93> det er alts<c3><a5> f<c3><a6>rre sysselsatte i det,petroleumsrelaterte,n<c3><a6>ringsliv Men i den samme perioden har det,petroleum*
doc_787,146,146,Dersom vi skal klare <c3><a5> erstatte bortfallet av,petroleumsinntekter,er det i eksporten fra fastlandsbedriftene at veksten,petroleum*
doc_794,74,74,mindre enn togradarsm<c3><a5>let er det rimeleg sikkert at,petroleumsindustrien,m<c3><a5> ha minst mogleg CO avtrykk og verta,petroleum*
doc_812,237,237,fornybart r<c3><a5>stoff som i mange samanhengar kan erstatte,petroleumsbasert,r<c3><a5>stoff For <c3><a5> styrkje denne n<c3><a6>ringa vidare er,petroleum*
doc_822,62,62,hatt p<c3><a5> mange mange ti<c3><a5>r fordi prisane p<c3><a5>,petroleum,er veldig l<c3><a5>ge D<c3><a5> er sp<c3><b8>rsm<c3><a5>let Kva for,petroleum*
doc_822,134,134,blir ramma men det l<c3><b8>yser ingen problem for,petroleumsn<c3><a6>ringa,s<c3><a5> lenge prisane er p<c3><a5> det niv<c3><a5>et dei,petroleum*
doc_859,27,27,legge fram et representantforslag om varig vern mot,petroleumsvirksomhet,i havomr<c3><a5>dene utenfor Lofoten Vester<c3><a5>len og Senja,petroleum*
doc_873,222,222,har i rapporten sammenlignet nettforsterkninger med gassturbiner i,petroleumsvirksomheten,Dette er bakgrunnen for at gasskraft har v<c3><a6>rt,petroleum*
doc_877,16,16,g<c3><a5>r inn for at man skal ha en,petroleumsfri,sone i nord i Arktis Det er jo,petroleum*
doc_877,41,41,Tidligere i <c3><a5>r har Canada sagt nei til,petroleumsaktivitet,nord for Canada Den tidligere Obama-administrasjonen i USA,petroleum*
doc_877,122,122,nord man er villig til <c3><a5> g<c3><a5> med,petroleumsaktivitet,nettopp for ogs<c3><a5> <c3><a5> m<c3><b8>te en s<c3><a5>nn diskusjon,petroleum*
doc_879,68,68,lang tid fremover Men vi vet ogs<c3><a5> at,petroleumsvirksomheten,m<c3><a5> v<c3><a6>re innstilt p<c3><a5> <c3><a5> tilpasse seg en,petroleum*
doc_879,140,140,det betyr ikke at det er slutt p<c3><a5>,petroleumsvirksomhet,i Norge i morgen,petroleum*
doc_893,111,111,som kan v<c3><a6>re egenproduksjon av energi knyttet til,petroleumsvirksomheten,utenfor Finnmark,petroleum*
doc_895,61,61,norsk <c3><b8>konomi det har vore viktig for norske,petroleumsbaserte,verksemder det har vore viktig for norsk offentleg,petroleum*
doc_905,152,152,jeg st<c3><a5>r for N<c3><a5>r det gjelder forvaltningen av,petroleumsressursene,v<c3><a5>re har det v<c3><a6>rt riktig beskrevet fra statsr<c3><a5>d,petroleum*
doc_907,79,79,dei maritime n<c3><a6>ringane og vidare for offshore og,petroleumsverksemd,Men der regjeringa tydelegvis har forst<c3><a5>tt kor viktige,petroleum*
doc_907,203,203,No skal havet ryddast for andre aller mest,petroleum,mineral og havbruk For <c3><a5> illustrere det heile,petroleum*
doc_907,214,214,havbruk For <c3><a5> illustrere det heile Ordet <c2><ab>,petroleum,<c2><bb> blir nemnt i strategien heile gonger Ordet,petroleum*
doc_910,132,132,utbetalinger per sysselsatt om bord p<c3><a5> NOR-skip i,petroleumsvirksomhet,vi har <c3><a5>pnet for tilskudd fra f<c3><b8>rste sj<c3><b8>mann,petroleum*
doc_918,112,112,for de andre naturressursene v<c3><a5>re enten det er,petroleumsressursene,mineraler eller fiskeriforvaltning for den del Den politiske,petroleum*
doc_925,84,84,alle fortrinn vi har mye teknologi spesielt innenfor,petroleumssektoren,vi har mye teknologi vi har utviklet innenfor,petroleum*
