year_start,session_label,n,rate_petro,rate_klima,rate_both,rate_triple,rate_only_petro,klima_given_petro
2016,2016<e2><80><93>17,1768,0.08710407239819004,0.5180995475113123,0.026018099547511313,0.006221719457013574,0.058823529411764705,0.2987012987012987
2017,2017<e2><80><93>18,1510,0.08940397350993377,0.5271523178807948,0.03245033112582781,0.01390728476821192,0.05231788079470199,0.362962962962963
2018,2018<e2><80><93>19,1867,0.08034279592929834,0.6197107659346546,0.0385645420460632,0.010712372790573112,0.0385645420460632,0.48
2019,2019<e2><80><93>20,1701,0.0975896531452087,0.6055261610817166,0.037037037037037035,0.00823045267489712,0.0564373897707231,0.3795180722891566
2020,2020<e2><80><93>21,1782,0.05499438832772166,0.6206509539842873,0.024691358024691357,0.005050505050505051,0.02861952861952862,0.4489795918367347
2021,2021<e2><80><93>22,1714,0.060093348891481914,0.6493582263710619,0.03442240373395566,0.012835472578763127,0.023920653442240373,0.5728155339805825
2022,2022<e2><80><93>23,1699,0.04237786933490288,0.5361977633902295,0.022366097704532076,0.00824014125956445,0.017657445556209534,0.5277777777777778
2023,2023<e2><80><93>24,1528,0.047774869109947646,0.5660994764397905,0.02225130890052356,0.007198952879581152,0.02225130890052356,0.4657534246575342
2024,2024<e2><80><93>25,1641,0.04204753199268738,0.506398537477148,0.006093845216331505,0.0018281535648994515,0.031687995124923825,0.14492753623188406
