docname,from,to,pre,keyword,post,pattern
doc_27,340,340,Statsministeren har over tid snakket seg gr<c3><b8>nn om,omstilling,men p<c3><a5> oversikten over de n<c3><a6>ringene som er,omstilling*
doc_27,528,528,konkurransekraften i den og hvordan mekanismene fungerer som,omstillingsmotor,Trepartssamarbeid er viktig fordi man sammen er sterkere,omstilling*
doc_27,585,585,Regjeringens arroganse overfor ansattorganisasjonene skaper d<c3><a5>rligere l<c3><b8>sninger for,omstilling,og svekker samarbeidsklimaet og de beste l<c3><b8>sningene Det,omstilling*
doc_28,311,311,Openbert fordi skattelette er avgjerande for den langsiktige,omstillinga,den langsiktige l<c3><b8>nsemda i bedriftene For regjeringa er,omstilling*
doc_28,389,389,heilt avgjerande at vi lykkast med den langsiktige,omstillinga,som Arbeidarpartiet ikkje var oppteke av medan dei,omstilling*
doc_29,39,39,er avgj<c3><b8>rende at vi n<c3><a5> tar den n<c3><b8>dvendige,omstillingen,som trengs og peker ut en ny retning,omstilling*
doc_30,80,80,kombinasjon av sosial mobilitet trygghet og et sv<c3><a6>rt,omstillingsdyktig,n<c3><a6>ringsliv og samfunn Men det som er forunderlig,omstilling*
doc_30,179,179,den modellen som er fundamentet for en vellykket,omstilling,Regjeringen har hatt troen p<c3><a5> at betydelige skattekutt,omstilling*
doc_30,234,234,vi st<c3><a5>r overfor nye endringer og nye store,omstillinger,i det norske samfunnet En av de store,omstilling*
doc_30,243,243,i det norske samfunnet En av de store,omstillingene,som vil m<c3><b8>te oss i framtiden er knyttet,omstilling*
doc_30,509,509,det med det Skal vi lykkes i krevende,omstillinger,m<c3><a5> vi mobilisere fellesskapet og trepartssamarbeidet Det gj<c3><b8>r,omstilling*
doc_30,765,765,de mulighetene som ligger der og klimautfordringene Den,omstillingen,vi st<c3><a5>r overfor l<c3><b8>ser vi best i fellesskap,omstilling*
doc_32,281,281,ha et kompass i de endringene og de,omstillingene,en skal gj<c3><b8>re Kan vi f.eks fortsette med,omstilling*
doc_37,169,169,viser sin styrke fordi vi blir gode til,omstilling,og til <c3><a5> m<c3><b8>te felles utfordringer Men det,omstilling*
doc_37,469,469,Regjeringa sa i trontalen <c2><ab> Samfunnet m<c3><a5> gj<c3><b8>re,omstilling,lettere for den enkelte gjennom omskolering sikring av,omstilling*
doc_41,39,39,har vi lenge v<c3><a6>rt klar over behovet for,omstilling,og at vi er s<c3><a5>rbare Det kraftige oljeprisfallet,omstilling*
doc_41,306,306,viktigste vi kan gj<c3><b8>re i en tid med,omstilling,er <c3><a5> stimulere i privat konkurranseutsatt n<c3><a6>ringsliv Vi,omstilling*
doc_41,453,453,viser at ordningene spesielt treffer regioner med s<c3><a6>rskilte,omstillingsutfordringer,For <c3><a5> lykkes med omstilling av <c3><b8>konomien m<c3><a5>,omstilling*
doc_41,458,458,regioner med s<c3><a6>rskilte omstillingsutfordringer For <c3><a5> lykkes med,omstilling,av <c3><b8>konomien m<c3><a5> vi ha med oss de,omstilling*
doc_41,580,580,vi lykkes med <c3><a5> legge til rette for,omstilling,i v<c3><a5>re eksisterende bedrifter Derfor jobber regjeringen n<c3><a5>,omstilling*
doc_41,637,637,en stolt industrihistorie i Norge Vi vet at,omstilling,ikke er noe nytt for bedriftene Hvis en,omstilling*
doc_41,703,703,f<c3><a5>r fra bedrifter landet rundt Takket v<c3><a6>re et,omstillingsdyktig,norsk n<c3><a6>ringsliv mange hardtarbeidende ansatte gode rammebetingelser og,omstilling*
doc_42,262,262,v<c3><a6>re viktig for Norge i flere ti<c3><a5>r framover,Omstillingen,fra fossilt til fornybart m<c3><a5> komme og kommer,omstilling*
doc_50,65,65,Mantraet fr<c3><a5> Arbeidarpartiet i dag har vore at,omstillinga,nesten har stoppa opp og at det ikkje,omstilling*
doc_50,262,262,gamle verkt<c3><b8>y Vi ser at Noreg no handterer,omstillinga,Det har fungert med ny politikk og med,omstilling*
doc_51,90,90,en bl<c3><a5>-bl<c3><a5> politikk som bidrar til aktivitet og,omstilling,er jeg optimist p<c3><a5> b<c3><a5>de Norges og Rogalands,omstilling*
