party,n_total,rate_petroleum,rate_klima,rate_fornybar,rate_barekraft,rate_nbim,rate_omstilling
A,2099,5.47879942829919,56.8365888518342,11.10052405907575,23.773225345402572,2.38208670795617,14.435445450214388
FrP,1145,9.519650655021834,48.995633187772924,8.646288209606986,17.554585152838428,4.541484716157205,6.462882096069869
H,1858,6.835306781485468,50.75349838536061,12.055974165769644,34.01506996770721,3.0678148546824544,20.344456404736274
KrF,423,7.328605200945626,60.99290780141844,9.456264775413711,28.60520094562648,2.8368794326241136,11.583924349881796
MDG,763,5.5045871559633035,74.96723460026212,15.334207077326342,15.465268676277852,5.6356487549148095,12.844036697247708
PF,50,0,60,2,52,0,4
Presidenten,101,4.9504950495049505,81.1881188118812,6.9306930693069315,2.9702970297029703,0,1.9801980198019802
R,481,5.197505197505198,46.36174636174636,19.75051975051975,11.642411642411643,9.771309771309772,7.276507276507277
SV,1736,6.221198156682028,70.33410138248848,9.735023041474653,9.331797235023041,3.9746543778801846,10.368663594470046
Sp,1252,4.872204472843451,57.66773162939297,16.61341853035144,21.405750798722046,1.5175718849840254,12.220447284345049
Statsr<c3><a5>d,4010,7.70573566084788,50.29925187032419,15.486284289276808,25.910224438902745,1.3216957605985038,12.119700748129675
Unknown,191,8.900523560209423,63.87434554973822,24.60732984293194,35.07853403141361,1.0471204188481675,26.701570680628272
V,1101,6.448683015440508,70.93551316984559,14.532243415077204,13.987284287011809,1.6348773841961852,12.806539509536785
