term,estimate,std.error,statistic,p.value,conf.low,conf.high,sig
(Intercept),0.16625633931717354,0.011435664541866609,14.538406465885718,2.779414605916635e-5,0.13686002776742096,0.19565265086692613,***
year_c,-0.006082402128214213,0.006112619815106292,-0.995056508043016,0.3653948097607434,-0.021795391593077054,0.009630587336648625,
post_break,-0.05254479534988893,0.019807152004826845,-2.652819311786176,0.04527275836010102,-0.10346070050918421,-0.001628890190593639,*
t_post,0.004152419949366011,0.007486399769318034,0.5546617970341533,0.6030216128185442,-0.015091983311954823,0.023396823210686844,
