effect,term,estimate,std.error,statistic,p.value,conf.low,conf.high,sig,term_clean
fixed,(Intercept),0.06353118886198499,0.008376882981938068,-20.90350418688201,4.975503660624657e-97,0.049062773680409115,0.08226628165192532,***,"Intercept (2016, Hovedinnlegg)"
fixed,year_c,0.8899973808674932,0.022900666455185077,-4.529012750869537,5.925992319149842e-6,0.8462259207892403,0.9360329416667394,***,Year (per year increase)
fixed,speech_typePresinnlegg,0.802866867378677,0.905017260294194,-0.1947836507318923,0.8455623219651192,0.08813367508022163,7.313835558856729,,Speech: Presinnlegg
fixed,speech_typeReplikk,0.6476535086855172,0.05048914212450314,-5.572293488426214,2.514074216460819e-8,0.5558858008939371,0.7545705730171963,***,Speech: Replikk
