docname,from,to,pre,keyword,post,pattern
doc_2199,446,446,av petroleumsn<c3><a6>ringen Regjeringen har gjennomf<c3><b8>rt store satsinger p<c3><a5>,karbonfangst,og lagring Vi har kommet dit hen at,karbonfangst*
doc_2200,194,194,som gir store utslippskutt raskt som satsing p<c3><a5>,karbonfangst,og lagring men ogs<c3><a5> p<c3><a5> skog b<c3><a5>de skogens,karbonfangst*
doc_2203,385,385,lyspunktene som finnes oppveies av dramatiske tilbakeskritt p<c3><a5>,karbonfangst,og lagring en flom av petroleumssubsidier og rekordinvesteringer,karbonfangst*
doc_2203,429,429,stanse regjeringens trenering av en ekte satsing p<c3><a5>,karbonfangst,og lagring ta initiativ til en storskala internasjonal,karbonfangst*
doc_2205,137,137,huske at regjeringen ville kutte satsingen p<c3><a5> CCS,karbonfangst,og lagring p<c3><a5> de tre store industriprosjektene i,karbonfangst*
doc_2205,315,315,satset p<c3><a5> havets helse og framtidens l<c3><b8>sninger med,karbonfangst,og lagring p<c3><a5> demonstrasjonsanlegg for havvind og vi,karbonfangst*
doc_2205,373,373,i nullutslippsteknologi i veitransporten biodrivstoff klimavennlig skipsfart og,karbonfangst,og lagring Vi vil ogs<c3><a5> satse mer p<c3><a5>,karbonfangst*
doc_2207,391,391,seg inn i nye risikoomr<c3><a5>der N<c3><a5>r det gjelder,karbonfangst,og lagring CCS er det ogs<c3><a5> enighet om,karbonfangst*
doc_2210,105,105,<c3><a5> forst<c3><a5> Vi har ord og begreper som,karbonfangst,karbonlagring klimagasser klimakvoter ikke-kvotepliktig sektor Parisavtalen 2-gradersm<c3><a5>let COP23,karbonfangst*
doc_2211,47,47,til reelle utslippskutt Arbeidet med <c3><a5> realisere fullskala,karbonfangst,og lagring er avgj<c3><b8>rende for at verden skal,karbonfangst*
doc_2211,162,162,satse p<c3><a5> utvikling og implementering av ny teknologi,Karbonfangst,i industrien representerer store investeringer Budsjettforslaget til regjeringen,karbonfangst*
doc_2212,203,203,salg av havvindteknologi til utlandet utvikling av biobasert,karbonfangst,og lagring nullutslippsl<c3><b8>sninger i industrien bygging av utslippsfrie,karbonfangst*
doc_2218,272,272,m<c3><a5> sette et virkelig stort sp<c3><b8>rsm<c3><a5>lstegn ved er,karbonfangst,og lagring at de ikke engang der klarer,karbonfangst*
doc_2231,224,224,tiltak Og vi etterlyser hva som skjer med,karbonfangst,og lagring n<c3><a5>r en f<c3><a5>r s<c3><a5> store og,karbonfangst*
doc_2231,275,275,at det ikke er noe problem knyttet til,karbonfangst,og lagring at dette skal de komme tilbake,karbonfangst*
doc_2231,324,324,at Norge ikke lenger vil ha lederrollen i,karbonfangst,og lagring <c2><bb> Han sa videre at for,karbonfangst*
doc_2231,356,356,der Det ligger ikke <c3><a9>n krone ekstra til,karbonfangst,og lagring I helgen bestemte Venstre seg for,karbonfangst*
doc_2231,411,411,en ha dannet flertall for mer penger til,karbonfangst,og lagring men det er tydeligvis viktigere <c3><a5>,karbonfangst*
doc_2235,330,330,budsjett hvor opposisjonen <c3><b8>nsker <c3><a5> <c3><b8>ke satsingen p<c3><a5>,karbonfangst,og lagring mens regjeringen har kuttet kraftig Opposisjonen,karbonfangst*
doc_2237,363,363,har mot gode forslag s<c3><a6>rlig n<c3><a5>r det gjelder,karbonfangst,og lagring og ikke minst n<c3><a5>r det gjelder,karbonfangst*
doc_2247,12,12,Det har v<c3><a6>rt bred enighet om <c3><a5> realisere,karbonfangst,og lagring i industrien s<c3><a5> raskt som mulig,karbonfangst*
doc_2247,32,32,de nasjonale klimam<c3><a5>lene Arbeidet med <c3><a5> realisere fullskala,karbonfangst,og lagring er avgj<c3><b8>rende ikke bare for at,karbonfangst*
doc_2247,92,92,kritisk til regjeringens foresl<c3><a5>tte kutt i satsingen p<c3><a5>,karbonfangst,og lagring og foreslo selv <c3><a5> legge inn,karbonfangst*
doc_2270,11,11,FrP Regjeringen har igangsatt og gjennomf<c3><b8>rt studier innenfor,karbonfangst,og lagring Regjeringen <c3><b8>nsker n<c3><a5> <c3><a5> forankre prosjektet,karbonfangst*
doc_2273,18,18,lederrolle i <c3><a5> utvikle teknologi for CCS alts<c3><a5>,karbonfangst,og lagring og vi har tidligere diskutert dette,karbonfangst*
doc_2273,69,69,oppn<c3><a5> Paris-m<c3><a5>lene hvis vi ikke g<c3><a5>r veien om,karbonfangst,og lagring,karbonfangst*
doc_2298,43,43,man n<c3><a5> har skapt enda en utsettelse av,karbonfangst,I Oslo har m<c3><a5>let v<c3><a6>rt rensing av Klemetsrudanlegget,karbonfangst*
doc_2429,383,383,jeg hadde lyst til <c3><a5> nevne spesielt er,karbonfangst,og lagring Jeg oppfatter det slik at Jel<c3><b8>ya-plattformen,karbonfangst*
doc_2429,443,443,med <c3><a5> opprettholde og videref<c3><b8>re en foregangsrolle innenfor,karbonfangst,og lagring Det er kanskje bare passe interessant,karbonfangst*
doc_2440,181,181,utvikling av andre og tredjegenerasjons biodrivstoff langt tilbake,Karbonfangst,og lagring i t<c3><b8>rrlagte oljebr<c3><b8>nner p<c3><a5> en gjennomanalysert,karbonfangst*
doc_2493,14,14,at SV blir med p<c3><a5> de store oppgavene,Karbonfangst,er <c3><a9>n av dem og der m<c3><a5> vi,karbonfangst*
doc_2600,389,389,CO med <c3><a5>rlig utslipp p<c3><a5> tonn CO i,Karbonfangst,og senere karbonfangst og lagring vil v<c3><a6>re et,karbonfangst*
doc_2600,392,392,utslipp p<c3><a5> tonn CO i Karbonfangst og senere,karbonfangst,og lagring vil v<c3><a6>re et viktig tiltak som,karbonfangst*
doc_2600,488,488,legge fram det varslede forslaget til finansieringsmodell for,karbonfangst,og lagring som en egen sak til Stortinget,karbonfangst*
doc_2617,197,197,p<c3><a5> havvind at vi har ambisjoner knyttet til,karbonfangst,at vi skal begynne <c3><a5> bygge gr<c3><b8>nne batterier,karbonfangst*
doc_2828,318,318,alts<c3><a5> sementproduksjon og knyte dette til utvikling av,karbonfangst,Det siste er risikoavlasting som eg meiner er,karbonfangst*
doc_2976,19,19,g<c3><a5>r fikk MDG et slags d<c3><a9>j<c3><a0> vu Regjeringens,karbonfangstpolitikk,har glidd inn i et m<c3><b8>nster vi kjenner,karbonfangst*
doc_2976,62,62,regjeringen utsetter n<c3><a5> investeringsbeslutningen for Norges satsing p<c3><a5>,karbonfangst,og lagring med opptil to <c3><a5>r Videre prosjektering,karbonfangst*
doc_2976,72,72,lagring med opptil to <c3><a5>r Videre prosjektering av,karbonfangst,og lagring ved Yara kuttes prosjektet ved Norcem,karbonfangst*
doc_2976,156,156,og gass gj<c3><b8>r en s<c3><a5> halvhjertet jobb med,karbonfangst,som er den eneste teknologien som kanskje kunne,karbonfangst*
doc_2977,22,22,en ledende rolle i det globale arbeidet med,karbonfangst,og lagring CCS Den posisjonen har vi opparbeidet,karbonfangst*
doc_2978,12,12,A Mitt sp<c3><b8>rsm<c3><a5>l g<c3><a5>r til olje og energiministeren,Karbonfangst,og lagring er v<c3><a5>rt viktigste enkelttiltak p<c3><a5> klimaomr<c3><a5>det,karbonfangst*
